Metric,Centralized,Decentralized,Difference,Diff (%)
Accuracy,0.5550577693940109,0.5029474180617779,-0.05211035133223296,-9.388275276125743
Precision,0.6068649885583524,0.5014861490904767,-0.10537883946787563,-17.364461858017215
Recall,0.3126621079933978,0.9945767507663287,0.6819146427729309,218.0995475113122
F1-Score,0.4126984126984127,0.6667720518495099,0.25407363915109726,61.56399717891973
Sensitivity (TPR),0.3126621079933978,0.9945767507663287,0.6819146427729309,218.0995475113122
Specificity (TNR),0.7974534307946239,0.01131808535722707,-0.7861353454373968,-98.58072146658782
AUC-ROC,0.6003262745230604,0.5588011918772078,-0.04152508264585264,-6.917085659601183
AUC-PR,0.6167142757530732,0.540402988096256,-0.07631128765681727,-12.373848094181561
Precision (Macro),0.5719730691561017,0.5887712435593229,0.016798174403221178,2.9368820507590465
Recall (Macro),0.5550577693940109,0.5029474180617779,-0.05211035133223296,-9.388275276125743
F1 (Macro),0.5272829698716963,0.34451775134219464,-0.18276521852950167,-34.661695706571734
Precision (Weighted),0.5719730691561017,0.5887712435593229,0.016798174403221178,2.9368820507590465
Recall (Weighted),0.5550577693940109,0.5029474180617779,-0.05211035133223296,-9.388275276125743
F1 (Weighted),0.5272829698716963,0.34451775134219464,-0.18276521852950167,-34.661695706571734
